Annotee_Identifier	Human_Readable_Description
FBpp0160618	n acetylgalactosaminyltransferase
FBpp0185459	cytochrome b5 x1
FBpp0230449	cell cycle negative regulator roughex
FBpp0205255	ring type e3 ubiquitin transferase
FBpp0085616	dependent rna helicase
FBpp0176368	thap type domain containing protein
FBpp0115752	glucose phosphate isomerase
FBpp0117912	regulator of chromosome condensation
FBpp0179042	gl
FBpp0225756	inner r7 photoreceptor cells opsin
FBpp0289229	general transcriptional corepressor trfa x1
FBpp0172667	mucin 5ac
FBpp0119233	protein l isoaspartate o methyltransferase
FBpp0076124	ubiquitin conjugating enzyme e2 22
FBpp0210601	dna primase large subunit
FBpp0226299	histidine rich glycoprotein
FBpp0194301	cg
FBpp0142152	solute carrier organic anion transporter family member
FBpp0267286	anaphase promoting complex subunit
FBpp0086279	madf domain containing protein
FBpp0168438	multiple c2 and transmembrane domain containing protein
FBpp0265365	glycerol kinase
FBpp0168688	tetraspanin
FBpp0140299	fasciclin 1
FBpp0215619	gd
FBpp0205929	ring type e3 ubiquitin transferase
FBpp0148779	titin
FBpp0144708	krueppel
FBpp0168111	c2hc domain containing protein
FBpp0118932	cuticle protein
FBpp0120339	non specific serine threonine protein kinase
FBpp0149421	large ribosomal subunit protein ul n terminal domain containing
FBpp0145106	transcription factor hamlet
FBpp0073861	cg pa
FBpp0264752	ab hydrolase domain containing protein
FBpp0185654	odorant receptor
GA18054-PA	trimeric intracellular cation channel type 1b 1
FBpp0179386	cyclin domain containing protein
FBpp0260352	mitogen activated protein kinase
FBpp0122341	serine rich adhesin for platelets
FBpp0084434	histone h2a
FBpp0128597	drosophila melanogaster
FBpp0079537	dependent rna helicase
FBpp0162952	bicaudal d protein x1
FBpp0217476	non specific serine threonine protein kinase
FBpp0212690	classical arabinogalactan protein
FBpp0189519	vesicle associated membrane protein b
FBpp0196433	drosophila melanogaster
FBpp0126683	dnaj subfamily b member
FBpp0226760	e3 ubiquitin protein ligase
FBpp0179521	non specific serine threonine protein kinase
FBpp0127488	intraflagellar transport protein
FBpp0142534	transmembrane protein 184c
FBpp0150666	u5 small nuclear ribonucleoprotein kda helicase
FBpp0143995	golgin subfamily a member protein
FBpp0252170	beta catenin protein n terminal domain containing
FBpp0123566	protein tsetseep domain containing
FBpp0180495	basic helix loop transcription factor scleraxis
FBpp0325470	bee milk protein
FBpp0217432	protein sex lethal
GA21944-PA	lysophospholipid acyltransferase
FBpp0158221	ubiquitinyl hydrolase
GA21059-PA	polynucleotide 5 hydroxyl kinase nol
FBpp0225324	methyl cpg binding domain protein x1
FBpp0177160	gl
FBpp0123548	protein sleepless
FBpp0178689	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
FBpp0210861	t snare coiled coil homology domain containing protein
FBpp0316884	duf 4766 domain containing protein
FBpp0240810	transforming growth factor beta induced protein ig h3 x1
FBpp0257140	t complex protein subunit delta
FBpp0323719	protein 1 bifocal
FBpp0070692	protein tyrosine phosphatase
FBpp0079429	cuticle protein
FBpp0208240	cugbp elav family member x1
FBpp0229933	box domain containing protein
FBpp0232062	protein smg
FBpp0241710	rrm domain containing protein
FBpp0119963	ef hand domain containing protein
FBpp0238664	pupal cuticle protein edg 78e
GA14928-PA	peptidase m14 carboxypeptidase a domain containing protein
FBpp0158848	origin recognition complex subunit
FBpp0124651	gl
FBpp0205914	programmed cell death protein
FBpp0155194	vm domain containing protein
GA13304-PA	cytochrome c oxidase assembly protein cox mitochondrial
FBpp0197523	receptor expression enhancing protein
FBpp0127351	atpase family aaa domain containing protein
FBpp0315754	c2h2 type domain containing protein
FBpp0127874	ankyrin repeat domain containing protein
FBpp0140411	gamma secretase subunit pen
FBpp0150404	gh
FBpp0166753	mitochondrial uncoupling protein 4c
FBpp0132875	gh
GA15170-PA	uracil dna glycosylase domain containing protein
FBpp0070353	sprt domain containing protein
FBpp0177489	serta domain containing protein
FBpp0119406	rrm domain containing protein
FBpp0201889	ionotropic glutamate receptor c terminal domain containing protein
FBpp0218225	c2h2 type domain containing protein
FBpp0313823	phosphorylase b kinase regulatory subunit
FBpp0126266	duf 4219 domain containing protein
FBpp0319801	adp ribosyl cyclase cyclic ribose hydrolase
FBpp0234692	protein kinase c
FBpp0244946	udp glucuronosyltransferase
FBpp0140669	zinc finger protein
FBpp0129042	bromo domain containing protein
FBpp0201445	major facilitator superfamily mfs profile domain containing protein
FBpp0260321	glycine rich cell wall structural protein x1
FBpp0270290	large ribosomal subunit protein el
FBpp0176814	bud
FBpp0115652	fact complex subunit ssrp
FBpp0249026	response factor
FBpp0206985	centrosomal protein of kda
FBpp0326700	mrna splicing protein
FBpp0248786	endophilin b1 x1
FBpp0117502	ig domain containing protein
FBpp0151033	gh
FBpp0179511	gs b
FBpp0180947	helicase domino
FBpp0257435	calmodulin x1
GA10490-PA	kxdl motif containing protein cg
FBpp0207423	hydrolase lipase protein
FBpp0326246	polyubiquitin b
FBpp0266929	protein abhd x1
FBpp0265327	thioredoxin mitochondrial
FBpp0271010	c2h2 type domain containing protein
FBpp0137798	duf 4203 domain containing protein
FBpp0122204	metabotropic glutamate receptor
FBpp0154310	microcephalin
FBpp0114099	male accessory gland protein
FBpp0131376	kda hemolymph protein
FBpp0172872	protein wnt
FBpp0160973	secreted protein
FBpp0119306	proline glutamic acid and leucine rich protein
GA21196-PA	wurmchen 1 b
FBpp0199020	titin
FBpp0205416	homeobox protein prospero
FBpp0312663	low density lipoprotein receptor protein
FBpp0314989	duf 4777 domain containing protein
FBpp0164795	trithorax group protein osa
FBpp0131167	large ribosomal subunit protein ul14m
FBpp0168054	60s ribosomal protein l11
FBpp0201905	gm
FBpp0139624	gustatory receptor
FBpp0170461	peptidase s1 domain containing protein
FBpp0171904	c2 domain containing protein
FBpp0153741	protein cdv
FBpp0186095	golgin
GA17470-PA	cg pa
FBpp0116864	zinc finger protein
FBpp0139662	protein grindelwald
FBpp0315996	nudc domain containing protein
FBpp0224916	duf 4794 domain containing protein
FBpp0118342	lim zinc binding domain containing protein
FBpp0260528	protein wnt
FBpp0220566	accessory gland peptide acp33a
FBpp0192920	tryptophan 2 3 dioxygenase
FBpp0206579	gram negative bacteria binding protein
FBpp0247259	atp binding cassette sub family g member
FBpp0120145	isocitrate dehydrogenase [nad] subunit beta mitochondrial
FBpp0119674	abscisic aldehyde oxidase
FBpp0268809	peptidase s1 domain containing protein
GA17454-PA	neuropeptide 1
FBpp0188648	leucine rich repeat containing protein c10orf11
FBpp0189142	peptidase s1 domain containing protein
FBpp0320890	c2h2 type domain containing protein
FBpp0254577	protein misato
FBpp0184964	prickle planar cell polarity protein x4
FBpp0211656	pupal cuticle protein edg
FBpp0197418	odorant binding protein 59a
FBpp0214257	mrna capping enzyme
FBpp0153871	nodal modulator
FBpp0204845	homeobox domain containing protein
FBpp0314692	unknown protein
FBpp0228412	pdz grasp type domain containing protein
FBpp0152598	dna rna non specific endonuclease pyrophosphatase phosphodiesterase domain containing protein
FBpp0117643	gd
FBpp0071884	glycerol phosphate dehydrogenase
FBpp0144433	n acetyltransferase domain containing protein
FBpp0164456	cg pa
GA12521-PA	protein tailless
FBpp0200237	secreted protein
FBpp0230795	acetyl coa acetyltransferase mitochondrial
FBpp0154548	dopamine transporter
FBpp0320189	duf 243 domain containing protein
FBpp0232288	cilia and flagella associated protein
FBpp0259541	transcriptional activator cubitus interruptus
FBpp0263940	protein limb expression
FBpp0258846	polynucleotide adenylyltransferase
GA20756-PA	ddb and cul associated factor
FBpp0173747	unknown protein
FBpp0159127	xylulose kinase
FBpp0124266	malectin domain containing protein
GA17746-PA	multidrug resistance protein
FBpp0195366	dna polymerase epsilon subunit
FBpp0264518	phosphatidic acid phosphatase type 2 haloperoxidase domain containing protein
FBpp0146548	diacylglycerol kinase
FBpp0154141	metchnikowin
FBpp0165346	unknown protein
FBpp0319971	protein kibra
FBpp0212227	sulfide quinone oxidoreductase mitochondrial
FBpp0261846	protein expanded
FBpp0262645	unc protein
FBpp0258401	origin recognition complex subunit
FBpp0132501	diphosphoinositol polyphosphate diphosphatase
FBpp0164129	g protein coupled receptors family profile domain containing
FBpp0174721	ionotropic glutamate receptor c terminal domain containing protein
FBpp0176269	neuroligin y linked
FBpp0207965	peptidase m20 dimerisation domain containing protein
FBpp0236738	scp domain containing protein
FBpp0206682	odorant receptor
FBpp0252832	unknown protein
FBpp0136196	marvel domain containing protein
FBpp0188131	bromodomain adjacent to zinc finger domain protein 1a
FBpp0207478	octopamine receptor beta 3r x1
FBpp0186134	transcriptional adapter
FBpp0148218	40s ribosomal protein s8
FBpp0192678	odorant receptor
FBpp0184991	gl
FBpp0251922	cg
FBpp0180149	duf 4485 domain containing protein
FBpp0245846	bed type domain containing protein
FBpp0165927	non specific protein tyrosine kinase
FBpp0177397	nose resistant to fluoxetine protein n terminal domain containing
FBpp0208194	wd repeat containing protein on y chromosome
FBpp0190891	gl
FBpp0200101	slow as molasses
FBpp0210033	trypsin
FBpp0252330	cilia and flagella associated protein n terminal domain containing
FBpp0264899	secreted protein
FBpp0215739	lipase domain containing protein
FBpp0271359	atrial natriuretic peptide receptor
FBpp0120850	centromere protein j c terminal domain containing
FBpp0320100	ankyrin 2
FBpp0162480	ubiquitin conjugating enzyme e2 22
FBpp0178777	gl
FBpp0207422	mucin 5ac x1
FBpp0236727	luciferin 4 monooxygenase
FBpp0257849	pppde domain containing protein
FBpp0137590	protein ovarian tumor locus
FBpp0239508	nuclear factor of activated t cells x2
FBpp0253981	1 acyl sn glycerol phosphate acyltransferase
GA18745-PA	large ribosomal subunit protein ul15m
FBpp0165941	protein rhomboid x1
FBpp0184375	eukaryotic translation initiation factor subunit
FBpp0253908	spermatogenesis associated protein
FBpp0269352	nose resistant to fluoxetine protein
FBpp0126626	brix domain containing protein
FBpp0146237	tumor necrosis factor receptor superfamily member wengen
FBpp0140529	ionotropic glutamate receptor c terminal domain containing protein
FBpp0146259	vesicle trafficking protein sec22b b
GA13559-PA	enhancer of yellow transcription factor
FBpp0127492	malate dehydrogenase
FBpp0211890	dna replication complex gins protein psf
FBpp0232221	odorant receptor
FBpp0121654	taco yebc second and third domain containing protein
FBpp0075618	40s ribosomal protein s4
FBpp0318071	fi17384p1
FBpp0120146	testicular haploid expressed gene protein
FBpp0134161	c2h2 type domain containing protein
FBpp0140212	duf 753 domain containing protein
FBpp0167937	splicing factor arginine serine rich
FBpp0127201	non specific serine threonine protein kinase
FBpp0131754	zinc finger protein ozf
GA18063-PA	ap complex subunit alpha
FBpp0155432	oxysterol binding protein
FBpp0156620	ranbp type domain containing protein
FBpp0175425	bromodomain containing protein ddb g0280777
FBpp0206876	leucine rich repeat and domain containing protein
FBpp0195199	hmg box domain containing protein
FBpp0210123	mediator of rna polymerase ii transcription subunit
FBpp0236296	methyltransferase protein
FBpp0160022	sulfurtransferase
FBpp0250093	bardet biedl syndrome protein
GA16423-PA	voltage dependent anion selective channel protein
FBpp0133477	transmembrane protein
FBpp0327969	duf 4781 domain containing protein
FBpp0230306	sulfiredoxin
FBpp0428101	hornerin x1
FBpp0183175	stathmin b
FBpp0186032	28s ribosomal protein s11 mitochondrial
FBpp0189440	cg
FBpp0169148	ocia domain containing protein
FBpp0125382	histone h2a
FBpp0138296	non specific serine threonine protein kinase
FBpp0256816	large ribosomal subunit protein p2
FBpp0120451	g protein coupled receptors family profile domain containing
FBpp0161010	fibroin heavy chain
FBpp0165283	histone lysine n methyltransferase smyd
FBpp0258668	serine threonine protein phosphatase
FBpp0428095	seminal fluid protein 97d
FBpp0163279	transcription factor tfiiib component b
FBpp0170967	amp deaminase
FBpp0236600	klaroid protein
FBpp0119752	elongation of very long chain fatty acids protein
FBpp0156889	sm protein f
FBpp0205409	zinc finger protein x1
FBpp0214936	translocating chain associated membrane protein
FBpp0245258	pre mrna splicing factor cwc
FBpp0233438	cubilin
FBpp0181401	peptidyl prolyl cis trans isomerase
FBpp0217815	cuticle protein
FBpp0212309	c2h2 type domain containing protein
FBpp0245016	non specific serine threonine protein kinase
FBpp0246844	gag polyprotein
FBpp0119322	fi06454p
FBpp0175147	guanine nucleotide exchange factor dbs
FBpp0297744	gl
GA10010-PA	protein drumstick
FBpp0198169	vesicle transport protein
FBpp0261779	homeobox protein aristaless
FBpp0122342	mucin 5ac
FBpp0144172	large ribosomal subunit protein el
FBpp0308542	unknown protein
GA20504-PA	alanine aminopeptidase protein
FBpp0320397	cecropin
FBpp0259032	gd
FBpp0182352	unconventional myosin xv x1
GA13138-PA	paired box protein pax
FBpp0158349	trypsin
FBpp0118182	geranylgeranyl transferase type subunit beta
FBpp0259154	zinc finger hit domain containing protein
FBpp0155692	cytochrome p450 9b2
FBpp0140414	drosophila melanogaster
FBpp0264223	latrophilin cirl
FBpp0182542	sap domain containing protein
FBpp0143110	flywch type domain containing protein
FBpp0263632	radial spoke head
FBpp0132352	huntingtin interacting protein 1
FBpp0270529	hexosaminidase d
FBpp0129402	mitochondrial fission protein
FBpp0172271	transcription initiation factor iia subunit
FBpp0246976	diacylglycerol kinase
FBpp0258340	dj pfpi domain containing protein
FBpp0118489	protein cebpzos
FBpp0176797	dynein beta chain ciliary
FBpp0297592	tumor protein d52
FBpp0086704	small ribosomal subunit protein bs16m
FBpp0135901	importin subunit alpha
FBpp0164753	hmg box domain containing protein
FBpp0319340	calcium calmodulin dependent protein kinase type
FBpp0240607	g protein coupled receptors family profile domain containing
FBpp0157661	gh
FBpp0158943	histone h4
FBpp0270164	dual specificity kinase
FBpp0258198	fasciclin x2
FBpp0158824	serine threonine protein phosphatase
FBpp0325558	odorant receptor
FBpp0150751	non specific serine threonine protein kinase
FBpp0132369	1 5 anhydro d fructose reductase x1
FBpp0131168	insulin peptide
GA20395-PA	ammonium transporter rh type b
FBpp0208831	vwfc domain containing protein
FBpp0139533	nuclear pore complex protein nup
FBpp0126556	drosophila melanogaster
FBpp0160966	small integral membrane protein
FBpp0224550	eukaryotic translation initiation factor subunit h
FBpp0082727	nucleolar protein
