Annotee_Identifier	Human_Readable_Description
CARHR027390.1	yth domain containing family protein
AT3G27690.1	chlorophyll a b binding protein 2 1 chloroplastic
CARHR190060.1	sphingosine kinase
AT5G36907.1	serine rich endogenous peptide
AT4G34050.3	caffeoyl coa o methyltransferase
AT4G05210.3	udp o acylglucosamine n acyltransferase
CARHR093690.1	f box protein
CARHR026980.1	mitochondrial import receptor subunit tom
AT5G22500.2	fatty acyl coa reductase 2
AT5G46760.1	transcription factor bhlh
AT5G23590.2	chaperone protein dnaj
AT2G30740.7	proline rich receptor protein kinase perk
AT4G32780.1	van binding protein
AT2G43070.2	signal peptide peptidase
CARHR035250.1	protein rgf inducible transcription factor
CARHR182820.1	thionin protein
CARHR235150.1	e3 ubiquitin protein ligase rnf
AT5G59930.2	protein vacuoleless gametophytes
CARHR070420.1	f box kelch repeat protein
AT1G74810.7	anion exchange protein
AT4G37470.1	karrikin insensitive receptor
CARHR046370.1	pentatricopeptide repeat containing protein
CARHR107020.2	basic leucine zipper
AT3G54510.3	hyperosmolality gated ca + permeable channel
AT1G65670.1	cytochrome p450 85a1
CARHR166840.1	fatty acyl coa reductase 2
AT3G23380.2	crib domain containing protein ric
AT1G11450.5	wat protein
AT2G45610.1	3 carboxylesterase cxe
AT5G17870.1	large ribosomal subunit protein cl
CARHR170160.1	mitochondrial proton calcium exchanger protein
CARHR171470.1	crs associated factor 1
CARHR063920.1	peroxygenase
AT2G01880.1	purple acid phosphatase
AT1G70580.3	alanine aminotransferase 1
AT2G42380.2	bzip transcription factor
AT5G37370.8	pre mrna splicing factor
AT3G25690.3	increased petal growth anisotropy protein
CARHR064290.1	1 phosphatidylinositol 3 phosphate 5 kinase
CARHR023500.1	mlp protein
CARHR189750.1	amino acid permease
CARHR098940.2	cbl interacting protein kinase
AT3G56410.2	protein enhanced disease resistance
CARHR030850.1	math domain and coiled coil containing protein
CARHR167400.1	udp n acetylglucosamine dolichyl phosphate acetylglucosaminephosphotransferase
CARHR248590.1	transcription factor
AT1G05770.1	inactive protein restricted tev movement
CARHR255080.1	cysteine rich receptor protein kinase
AT5G61790.1	calnexin 00147
AT1G79410.1	solute carrier family member
AT3G59580.1	protein nlp
AT5G45640.1	subtilisin protease sbt
AT3G08760.2	interacting receptor cytoplasmic serine threonine protein kinase
AT1G79580.1	nac domain containing protein
AT2G23980.4	cyclic nucleotide gated ion channel
AT5G05580.1	omega fatty acid desaturase endoplasmic reticulum
CARHR285790.1	oxysterol binding protein
CARHR233660.1	beta galactosidase
CARHR092210.1	calmodulin binding transcription activator
AT5G19490.1	dr associated corepressor
CARHR195890.1	glutamate decarboxylase
AT1G30910.1	mitochondrial amidoxime reducing component
AT1G19140.2	unknown protein
AT3G09090.2	protein defective in exine formation
AT4G01440.2	wat protein
CARHR081030.1	neutral alkaline invertase 1
AT3G14700.2	sart family protein dot
CARHR078390.2	unknown protein
CARHR004380.1	unknown protein
AT1G13830.2	plasmodesmata callose binding protein
AT2G33460.1	crib domain containing protein ric
AT5G66790.1	wall associated receptor kinase
AT4G05330.3	protein c2 domain aba
CARHR005010.1	udp glycosyltransferase
AT3G25830.1	beta myrcene synthase 2 chloroplastic
AT1G48390.3	f box protein
CARHR153390.2	trihelix transcription factor enap
AT2G22770.1	transcription factor bhlh
CARHR267150.1	inactive udp glycosyltransferase
AT3G27580.1	serine threonine protein kinase
AT1G09500.3	bifunctional dihydroflavonol 4 reductase
CARHR131420.1	protein cramped
CARHR136940.1	polygalacturonase
AT4G34550.2	protein photoperiodic control of hypocotyl
AT3G04940.2	bifunctional l 3 cyanoalanine synthase cysteine 1 mitochondrial
CARHR017730.1	polygalacturonase
CARHR005370.1	aspartic proteinase protein
AT2G46225.3	protein abil
AT1G29470.1	unknown protein
CARHR169110.1	v type proton atpase subunit d
AT3G47500.1	dof zinc finger protein
AT1G71000.2	chaperone protein dnaj
CARHR144940.1	f box protein pp
AT4G25710.1	f box kelch repeat protein
CARHR144550.1	protein indeterminate domain 4 chloroplastic
AT1G73950.1	baculoviral iap repeat containing protein 7
CARHR138390.1	histidine protein methyltransferase
CARHR000670.3	protein pair
AT2G07180.1	cytoplasmic serine threonine protein kinase
AT4G19985.2	gcn n acetyltransferase 3 chloroplastic
AT5G40490.2	rna binding protein musashi
AT2G29530.2	mitochondrial import inner membrane translocase subunit tim
CARHR159440.1	fatty acyl coa reductase 2
CARHR191150.1	nac domain containing protein
CARHR251910.1	f box fbd protein
AT1G52490.1	f box protein
AT4G30000.2	dihydropteroate synthase
CARHR015740.1	protein sawadee homeodomain
AT1G71692.1	mads box transcription factor
AT4G34840.3	5 methylthioadenosine nucleosidase
AT3G23300.1	unknown protein
AT3G48350.2	germination specific cysteine protease
AT5G44830.1	polygalacturonase
AT3G02260.2	e3 ubiquitin protein ligase ubr
CARHR049810.1	glycosyltransferase bc
AT4G39160.1	transcription factor tfiiib component b
AT3G46210.5	exosome complex rrp
CARHR227080.1	cytochrome p450
CARHR041610.1	phospholipase a1 ii
CARHR059300.1	glycerophosphodiester phosphodiesterase gdpdl
AT2G46210.1	bifunctional delta 6 fatty acyl desaturase
AT1G77800.2	protein jade
CARHR270550.4	f box fbd protein
CARHR282940.1	sec independent protein translocase tatc
CARHR118030.4	transmembrane superfamily member
AT5G45610.1	protein sensitive to uv
AT2G33240.8	myosin
CARHR001180.1	cyclic pyranopterin monophosphate synthase
AT4G28640.1	auxin responsive protein iaa
AT4G13800.7	nipa protein
CARHR025340.1	eukaryotic translation initiation factor 5a 1 2
CARHR125580.1	leucine rich receptor protein kinase
CARHR142400.1	pectinesterase
AT5G43440.2	1 aminocyclopropane carboxylate oxidase
CARHR205490.1	nac domain containing protein 21 22
CARHR180600.2	squamosa promoter binding protein
AT3G60820.1	proteasome subunit beta type
CARHR252710.1	derlin
AT3G62310.2	atp dependent rna helicase dhx
AT2G05120.1	nuclear pore complex protein nup
AT1G25682.2	coiled coil domain containing protein
CARHR123990.1	monothiol glutaredoxin
AT3G44530.2	protein hira
CARHR187550.1	nadp dependent malic enzyme 4
CARHR210110.1	polyubiquitin
CARHR054280.1	enhanced ethylene response protein
CARHR007060.1	serine arginine rich splicing factor
CARHR000410.1	peptidyl prolyl cis trans isomerase
AT3G45950.1	pre mrna splicing factor slu
AT1G79620.4	repeat receptor protein
CARHR184880.1	cinnamoyl coa reductase
AT2G38470.1	wrky transcription factor
AT3G02940.3	myb transcription factor
AT3G27180.1	23s rrna uracil 747 c 5 methyltransferase rlmc
AT1G79820.4	solute carrier family 2 facilitated glucose transporter member
CARHR230750.1	tetraspanin
CARHR270030.1	unknown protein
AT4G26420.2	loganic acid o methyltransferase
CARHR049140.1	nac domain containing protein
CARHR129300.2	protein narrow leaf
AT2G02390.3	glutathione s transferase
AT2G01320.7	abc transporter g family member
AT1G22275.2	synaptonemal complex protein
AT5G01470.1	protein lysine n methyltransferase efm
AT3G24200.1	ubiquinone biosynthesis monooxygenase coq mitochondrial
CARHR084970.1	s protein
AT2G30460.3	udp rhamnose galactose transporter
AT2G39850.1	subtilisin protease sbt
AT2G46860.1	inorganic pyrophosphatase
CARHR085120.1	heavy metal associated isoprenylated plant protein
CARHR212900.1	cysteine trna ligase 1
AT5G45940.1	nudix hydrolase 1184
AT5G27400.1	protein lysine n methyltransferase
AT5G55810.2	nicotinamide nicotinic acid mononucleotide adenylyltransferase
AT5G08430.2	zinc finger ccch domain containing protein
CARHR009030.1	transcription factor bhlh
AT2G03640.3	nuclear transport factor
AT3G51950.1	zinc finger ccch domain containing protein
CARHR194490.2	wd repeat and fyve domain containing protein
AT1G05080.1	f box fbd protein
CARHR227700.1	protein bud
AT2G06025.2	gcn n acetyltransferase 6 chloroplastic
CARHR021070.1	gdp transporter
CARHR123110.1	pentatricopeptide repeat containing protein
CARHR230350.2	cysteine rich receptor protein kinase
AT5G37840.1	unknown protein
AT2G30980.1	shaggy protein kinase beta
CARHR024590.1	paired amphipathic helix protein sin
CARHR068060.1	pentatricopeptide repeat containing protein
CARHR124330.1	leaf rust disease resistance locus receptor protein kinase
CARHR169520.1	1 3 beta glucan synthase component
AT1G80810.1	sister chromatid cohesion protein pds
AT4G12190.1	e3 ubiquitin protein ligase rnf
AT1G72930.2	disease resistance protein
CARHR249640.1	vacuolar protein sorting associated
AT4G32630.3	arf gap with dual ph domain containing protein
AT3G63000.1	nuclear protein localization
AT4G08390.2	l ascorbate peroxidase 1 cytosolic
AT3G60070.5	major facilitator superfamily domain containing protein
AT1G61040.3	protein rtf
CARHR192560.1	progestin and receptor member
AT5G26780.2	serine hydroxymethyltransferase 1
AT1G02270.2	unknown protein
CARHR171900.1	f box protein
AT2G21740.1	egg cell secreted protein
AT3G46870.2	protein thylakoid assembly 8 chloroplastic
AT1G16400.1	isoleucine n monooxygenase
AT4G09720.4	ras protein rab 7a
CARHR155610.2	glycogen phosphorylase form
AT1G73310.3	serine carboxypeptidase
AT1G57870.3	shaggy protein kinase beta
AT4G36910.1	inosine monophosphate dehydrogenase
AT5G64140.1	small ribosomal subunit protein es
AT5G37740.1	protein c2 domain aba
AT3G19460.2	reticulon protein
AT3G28500.1	large ribosomal subunit protein p2
CARHR176190.2	lrr receptor kinase
CARHR082270.1	cytochrome b561 and domon domain containing protein
CARHR250410.2	syntaxin
CARHR051580.1	geranyllinalool synthase
AT3G54120.1	reticulon protein
AT4G00630.2	glutathione regulated potassium efflux system protein kefc
CARHR049890.1	atp dependent dna helicase mph
AT4G30825.1	pentatricopeptide repeat containing protein
AT5G44130.1	fasciclin arabinogalactan protein
CARHR049330.2	disease resistance protein
AT2G26690.3	protein nrt ptr family
AT4G31430.1	protein kaku
AT3G11180.2	flavonol synthase flavanone 3 hydroxylase
CARHR005730.2	mitochondrial atp independent inner membrane protease subunit
CARHR250260.2	calcineurin b protein
AT1G20190.1	expansin
CARHR163890.1	universal stress protein
AT4G00270.1	glabrous enhancer binding protein
CARHR039120.1	nadh dehydrogenase [ubiquinone] beta subcomplex subunit 10
AT5G41150.2	dna repair endonuclease
AT1G78600.1	box zinc finger protein
CARHR120140.1	dephospho coa kinase protein
AT2G30630.1	calmodulin calcium dependent nad kinase
CARHR121210.1	cytokinin riboside 5 monophosphate phosphoribohydrolase log
CARHR142350.1	meiosis specific protein
AT1G35290.1	acyl carrier protein thioesterase chloroplastic
CARHR213690.2	double strand break repair protein rad
CARHR043720.1	e3 ubiquitin protein ligase ccnb1ip1
CARHR026320.1	unknown protein
CARHR256790.1	polycomb group protein
AT1G32190.2	alpha beta hydrolase domain containing protein
AT5G53850.3	methylthioribulose phosphate dehydratase
AT4G11911.1	protein stay green 1 chloroplastic
AT1G37140.1	protein mei
CARHR156430.3	abc transporter a family member
CARHR228240.1	vacuolar protein sorting associated
AT5G59800.1	methyl cpg binding domain containing protein
AT1G54510.1	serine threonine protein kinase nek
AT4G13800.2	nipa protein
AT4G28020.4	trna adenine 37 n6 methyltransferase
AT2G39000.2	gcn n acetyltransferase 4 chloroplastic
AT5G02900.1	cytochrome p450
AT3G55630.7	dihydrofolate synthase folylpolyglutamate
AT1G51870.2	induced receptor serine threonine protein kinase
CARHR009720.1	u2 small nuclear ribonucleoprotein a
CARHR197760.1	expansin a4
CARHR119890.2	phosphatidylinositol n acetylglucosaminyltransferase subunit q
CARHR257570.1	auxin responsive protein saur
CARHR087790.1	spliceosome associated protein cwc
AT1G76010.1	ribonuclease p protein subunit p25
CARHR048240.1	at hook motif nuclear localized protein
AT1G17220.1	translation initiation factor if
AT1G68100.1	zinc transporter zip
CARHR098440.3	fcs zinc finger
AT1G63380.4	3 oxoacyl [acyl carrier protein] reductase 1 chloroplastic
CARHR162030.1	general transcription factor iif subunit
CARHR101240.1	f box protein
AT2G20580.1	26s proteasome regulatory subunit
AT1G06220.3	elongation factor
CARHR242780.2	small ribosomal subunit protein bs
AT5G49490.1	agamous mads box protein agl
CARHR099780.1	methanethiol oxidase
AT4G13550.3	secreted mono and diacylglycerol lipase
AT5G17790.1	zinc finger protein var chloroplastic
AT5G42850.2	acireductone dioxygenase
AT5G03970.2	f box protein
AT4G04750.3	sugar transporter erd
CARHR149450.1	atp dependent dna helicase recg chloroplastic mitochondrial
AT3G57200.2	glycosyltransferase
AT2G42410.3	zinc finger protein
CARHR104790.1	abc transporter g family member
CARHR187680.2	rhomboid protein 11 chloroplastic
AT4G24680.1	protein modifier of snc
CARHR019110.1	plant cysteine oxidase
CARHR022660.2	synaptonemal complex protein
AT2G28550.6	ap ethylene responsive transcription factor
AT5G27570.1	cell division cycle 20 1 cofactor of apc complex
AT1G70810.1	protein c2 domain aba
AT3G05090.2	wd repeat containing protein
CARHR063740.3	cysteine rich receptor protein kinase
CARHR142950.1	protein seed and root hair protective
AT1G13930.3	nodulin protein
CARHR125270.1	histone lysine n methyltransferase h3 specific
CARHR277430.1	mitogen activated protein kinase
AT2G26550.2	heme oxygenase 1 chloroplastic
CARHR008290.1	large subunit gtpase
CARHR046920.1	serpin
AT1G63360.2	disease resistance protein
CARHR143770.1	reticulon protein b15
CARHR256650.1	phytolongin phyl
AT3G05830.3	nuclear envelope associated protein
CARHR025800.1	lipase
AT2G28580.1	upf protein
CARHR159830.1	centrin
AT3G49480.2	f box fbd protein
AT3G14620.1	cytochrome p450
AT4G03610.4	unknown protein
AT5G61880.1	mitochondrial import inner membrane translocase subunit tim
AT2G01630.3	glucan endo beta glucosidase
CARHR117630.1	nac domain containing protein
CARHR246670.1	anionic peroxidase
AT5G02420.1	cyclin dependent protein kinase inhibitor smr
CARHR016300.1	mediator of rna polymerase ii transcription subunit 15a
AT3G51250.1	senescence dehydration associated protein chloroplastic
CARHR197950.1	pentatricopeptide repeat containing protein
AT5G52170.3	homeobox leucine zipper protein roc
AT1G14700.2	purple acid phosphatase
AT2G26540.2	uroporphyrinogen iii synthase chloroplastic
AT5G26770.4	nuclear envelope associated protein
CARHR080930.2	swi snf matrix associated actin dependent regulator of chromatin subfamily a member
CARHR261880.2	wat protein
AT2G38560.1	transcription elongation factor a protein
AT5G16450.2	unknown protein
CARHR098350.1	frigida protein
AT4G13610.1	dna cytosine methyltransferase
AT5G50010.1	transcription factor
AT1G30440.1	btb poz domain containing protein
CARHR037490.1	filament plant protein
CARHR000070.1	bidirectional sugar transporter sweet
AT3G22420.5	serine threonine protein kinase wnk
CARHR031890.1	plastidial pyruvate kinase 1
CARHR162450.1	replication protein a kda subunit
AT3G11440.2	myb transcription factor
AT5G49840.4	atp dependent clp protease binding subunit clpx
CARHR221220.1	van binding protein
CARHR244370.3	senescence dehydration associated protein chloroplastic
CARHR272030.1	histone binding protein rbbp
CARHR059640.3	f box lrr repeat protein
CARHR250200.1	aquaporin tip
CARHR117220.1	f box kelch repeat protein
AT1G79710.1	folate biopterin transporter 1
AT4G39850.3	atp binding cassette sub family d member
AT4G16920.2	disease resistance protein
AT3G28760.2	3 dehydroquinate synthase
CARHR174070.2	glycine rich rna binding protein 2 mitochondrial
AT2G35340.1	pre mrna splicing factor atp dependent rna helicase protein
AT1G50250.1	atp dependent zinc metalloprotease ftsh 1
CARHR186010.1	d alanine aminotransferase
AT4G16566.1	adenosine 5 hint
AT4G14540.1	nuclear transcription factor y subunit b 1
AT4G13700.2	fe 3+ 2+ purple acid phosphatase
AT3G56200.1	amino acid transporter
CARHR066460.2	pentatricopeptide repeat containing protein mitochondrial
CARHR234400.1	grpe protein 1
CARHR122470.2	serine arginine repetitive matrix protein
AT4G32850.17	nuclear poly a polymerase
CARHR123750.1	transcription repressor ofp
AT3G13920.2	eukaryotic initiation factor 4a 1
CARHR168060.1	wall associated receptor kinase
CARHR195780.1	ap ethylene responsive transcription factor
CARHR280130.1	glucan endo beta glucosidase
AT1G64620.1	dof zinc finger protein
CARHR124870.1	transcription factor
CARHR074910.1	phytyl ester synthase 1 chloroplastic
AT5G56230.1	pra family protein
CARHR025990.2	ethylene responsive transcription factor erf
